IDN3,NM3,value
101,Bratislava I,82.25
102,Bratislava II,81.69
103,Bratislava III,81.36
104,Bratislava IV,82.9
105,Bratislava V,80.69
106,Malacky,80.75
107,Pezinok,81.78
108,Senec,82.13
201,Dunajská Streda,79.76
202,Galanta,79.74
203,Hlohovec,80.7
204,Piešťany,81.63
205,Senica,80.01
206,Skalica,79.93
207,Trnava,81.63
301,Bánovce nad Bebravou,81.0
302,Ilava,80.82
303,Myjava,80.21
304,Nové Mesto nad Váhom,81.44
305,Partizánske,82.47
306,Považská Bystrica,81.01
307,Prievidza,81.64
308,Púchov,79.85
309,Trenčín,82.32
401,Komárno,79.53
402,Levice,79.67
403,Nitra,80.87
404,Nové Zámky,79.65
405,Šaľa,79.81
406,Topoľčany,80.75
407,Zlaté Moravce,80.69
501,Bytča,80.48
502,Čadca,80.13
503,Dolný Kubín,81.74
504,Kysucké Nové Mesto,79.36
505,Liptovský Mikuláš,82.13
506,Martin,81.65
507,Námestovo,80.95
508,Ružomberok,80.38
509,Turčianske Teplice,80.04
510,Tvrdošín,81.87
511,Žilina,81.12
601,Banská Bystrica,82.29
602,Banská Štiavnica,79.75
603,Brezno,80.52
604,Detva,81.11
605,Krupina,78.06
606,Lučenec,79.44
607,Poltár,79.78
608,Revúca,77.26
609,Rimavská Sobota,79.01
610,Veľký Krtíš,79.01
611,Zvolen,81.64
612,Žarnovica,80.96
613,Žiar nad Hronom,81.22
701,Bardejov,80.86
702,Humenné,81.17
703,Kežmarok,79.69
704,Levoča,80.26
705,Medzilaborce,78.54
706,Poprad,81.51
707,Prešov,82.15
708,Sabinov,80.38
709,Snina,79.55
710,Stará Ľubovňa,81.56
711,Stropkov,80.67
712,Svidník,80.73
713,Vranov nad Topľou,80.2
801,Gelnica,78.94
802,Košice I,82.83
803,Košice II,81.88
804,Košice III,80.65
805,Košice IV,80.53
806,Košice-okolie,79.79
807,Michalovce,79.3
808,Rožňava,79.24
809,Sobrance,79.14
810,Spišská Nová Ves,81.49
811,Trebišov,78.44
