month,lyže,vlek
2007-01,28,6
2007-02,48,10
2007-03,0,3
2007-04,5,0
2007-05,0,0
2007-06,0,0
2007-07,4,5
2007-08,6,0
2007-09,10,0
2007-10,18,0
2007-11,29,3
2007-12,31,11
2008-01,46,15
2008-02,40,8
2008-03,22,3
2008-04,6,0
2008-05,0,0
2008-06,0,0
2008-07,0,0
2008-08,0,0
2008-09,9,0
2008-10,17,7
2008-11,26,0
2008-12,40,7
2009-01,60,17
2009-02,35,10
2009-03,22,3
2009-04,11,2
2009-05,0,4
2009-06,0,0
2009-07,0,0
2009-08,4,0
2009-09,4,2
2009-10,21,3
2009-11,25,0
2009-12,31,3
2010-01,47,15
2010-02,42,7
2010-03,19,2
2010-04,8,0
2010-05,0,0
2010-06,1,0
2010-07,3,4
2010-08,8,0
2010-09,8,0
2010-10,15,3
2010-11,32,0
2010-12,54,15
2011-01,46,14
2011-02,26,8
2011-03,13,0
2011-04,3,2
2011-05,2,1
2011-06,2,1
2011-07,2,2
2011-08,3,2
2011-09,11,1
2011-10,16,1
2011-11,23,2
2011-12,30,7
2012-01,53,17
2012-02,38,11
2012-03,14,3
2012-04,4,3
2012-05,1,0
2012-06,0,1
2012-07,2,1
2012-08,1,2
2012-09,7,1
2012-10,11,1
2012-11,23,2
2012-12,36,8
2013-01,46,16
2013-02,30,9
2013-03,13,3
2013-04,6,2
2013-05,3,0
2013-06,0,1
2013-07,2,1
2013-08,5,2
2013-09,7,2
2013-10,13,1
2013-11,22,2
2013-12,29,6
2014-01,17,4
2014-02,17,6
2014-03,5,2
2014-04,4,1
2014-05,1,3
2014-06,1,1
2014-07,1,2
2014-08,1,0
2014-09,3,3
2014-10,10,2
2014-11,14,2
2014-12,18,5
2015-01,27,12
2015-02,26,12
2015-03,10,3
2015-04,4,2
2015-05,1,1
2015-06,1,2
2015-07,1,2
2015-08,4,0
2015-09,3,1
2015-10,11,0
2015-11,16,2
2015-12,19,3
2016-01,30,14
2016-02,16,6
2016-03,7,2
2016-04,3,0
2016-05,2,0
2016-06,1,2
2016-07,0,1
2016-08,2,2
2016-09,2,1
2016-10,6,0
2016-11,15,1
2016-12,21,8
2017-01,38,19
2017-02,22,8
2017-03,8,1
2017-04,2,0
2017-05,1,1
2017-06,1,0
2017-07,1,0
2017-08,2,2
2017-09,4,1
2017-10,7,2
2017-11,13,2
2017-12,24,6
2018-01,23,10
2018-02,19,10
2018-03,11,6
2018-04,2,0
2018-05,1,0
2018-06,1,2
2018-07,1,1
2018-08,3,2
2018-09,3,1
2018-10,7,2
2018-11,9,0
2018-12,20,8
2019-01,40,24
2019-02,21,8
2019-03,7,2
2019-04,3,1
2019-05,2,1
2019-06,2,2
2019-07,1,0
2019-08,1,1
2019-09,4,1
2019-10,7,1
2019-11,12,1
2019-12,16,8
2020-01,27,14
2020-02,15,7
2020-03,4,1
2020-04,2,1
2020-05,2,1
2020-06,2,1
2020-07,2,1
2020-08,1,2
2020-09,3,1
2020-10,4,1
2020-11,7,1
2020-12,11,3
2021-01,13,3
2021-02,9,3
2021-03,2,1
2021-04,2,1
2021-05,3,1
2021-06,0,2
2021-07,1,1
2021-08,3,2
2021-09,2,2
2021-10,5,2
2021-11,8,2
2021-12,22,9
2022-01,34,15
2022-02,22,9
2022-03,8,4
2022-04,3,2
2022-05,1,1
2022-06,2,1
2022-07,1,2
2022-08,1,1
2022-09,3,0
2022-10,7,1
2022-11,10,1
2022-12,17,8
